@relation training-set

@attribute @class@ {Social,Technology,Politics,Economy}
@attribute content string

@data
Politics,'czech republ appli membership'
Economy,'trade them but that it no ever closer no more fat ex minist make law'
Social,'glo euro campaign signific humphrei boss david humphrei sai gloucest challeng cup qua'
Politics,'vk worldnew nato chief seek closer cooper new secur challeng'
Politics,'ed miliband exit threat make reform harder negoti britain need build bridg chang un'
Politics,'nato nato chief seek closer cooper new secur tri cybersecur'
Politics,'militari committe eumc'
Politics,'yahoo new nato chief seek closer cooper'
Politics,'britain can thrive outsid breitbart'
Social,'sai leav facebook you valu your privaci'
Politics,'layersbyvib vibex nato chief seek closer cooper'
Politics,'nato chief seek closer cooper worldnew new breakingnew'
Politics,'papersreportsreview nato chief seek closer cooper brussel ap'
Politics,'marvel nato chief seek closer cooper nato chief seek'
Politics,'mix opinion umultirank result a good a uni choos particip'
Politics,'icymi new nato chief seek closer cooper new secur challeng'
Politics,'world nato chief seek closer cooper new secur challeng'
Politics,'new nato chief seek closer cooper new secur challeng nato secr tu'
Politics,'nato chief seek closer cooper worldnew reddit'
Social,'brighton hove albion amex stadium could host rugbi champion cup semi bhafc'
Social,'doesnt look unlik me haha when did you start work'
Social,'weve had citizenship sinc'
Politics,'pm nato chief seek closer cooper'
Social,'when did you start work'
Politics,'affair committe cr pm agenda engag ombudsman m emili oreilli'
Politics,'franc largest countri in chsfrench'
Social,'eyd stori week ebola survivor turn help commun recov in guinea'
Social,'save playlist'
Politics,'we all need more than ever ed miliband exit threat make reform harder negoti'
Social,'religion struggl confession cultur limit integrati jame guth et al'
Politics,'guardian ed miliband exit threat make reform harder negoti'
Politics,'govern polit nugent nei'
Politics,'theguardiannew ed miliband exit threat make reform harder negoti'
Politics,'biggest ever whitehal examin power found no evid interf'
Politics,'ed miliband exit threat make reform harder negoti britain need build bridg c'
Technology,'noviceseu attach string zimmer takeov biomet todai gave it approv zimmer'
Politics,'access serbia negoti screen complet'
Social,'scholarship avail univers tartu unionrussia studi europeanunionrussiastudiesmapr'
Economy,'franc more than half it land under cultiv so biggest food export in factofthedai'
Social,'across action auster'
Economy,'french capit gain your french home major drop resid outsid'
Politics,'polit parti gaffnei john'
Politics,'mix opinion about umultirank still new websit clunki but pir could learn it'
Social,'hello on winner ticket final leagu in in turin western'
Politics,'no evid manipul in nigeria elect sai said there no evi'
Economy,'intldevelop romania need repai eur mln debt world bank worl'
Politics,'less than two week go until model so much left organis experienc bureaucraci first hand'
Politics,'undp donat million dollar inec thi elect you expect em keep ey proceed'
Politics,'mep if turkei join it shortli follow israel turkiy turkeyeu'
Economy,'imagin flee market vendor like iran who make buck end dai'
Economy,'fundamentalright afterthought singl market essenc'
Politics,'mix opinion a unionfund rank effort enter second year herank'
Social,'publish two major report anim in'
Politics,'parliament council remain far apart futur biofuel polici'
Politics,'govt accus buri review sai doesnt interven unduli in british life'
Politics,'georgian peacekeep return peacekeep mission in central african republ'
Social,'alwai grow alwai chang alwai bring futur todai'
Politics,'situat fundament right in'
Politics,'vapersshop council stop ecig ban chang'
Politics,'so ukip realli want leav huh'
Politics,'come soon in form pir it fly find pro con idepelpolici'
Social,'gener knowledg schengen state'
Technology,'can provid india advanc technologi sai joao cravinho indiainc digitalindia'
Social,'countri note try thi american cant try thi sht laugh face'
Politics,'articl in quot ellen hazelkorn latest rankingr'
Social,'lgbti action plan level necessari tool ensur equal right equal treatment across sai'
Economy,'imagin teach topic like merg element econom histori languag geographi'
Politics,'eui interview peggi holling strengthen time'
Politics,'dtn offici donald tusk visit tunisia union top offici includ poland'
Economy,'strengthen bank sector crossbord merger good but regulatori risk capitalliquid restrict'
Politics,'itali foreign minist warn union southern flank expos'
Economy,'vote econom commun bureaucrat gravi train account sign off in yr'
Economy,'achiev sustain employ in world constant chang innov'
Economy,'eurasian econom suggest strateg partnership belaru new belta'
Technology,'largescal internetofth innov commiss'
Politics,'anybodi below ag never had sai uk membership ge'
Economy,'europch pew disagre northwestern fish statu'
Politics,'ed argument'
Economy,'equiti commiss us bui invest research take center stage in'
Economy,'updat higher mix opinion a unionfund rank effort enter second year'
Politics,'labour futur li in'
Technology,'can biggest sourc advanc high tech india which come wt invest'
Politics,'call propos procur notic'
Politics,'hand m in taxpayerfund grant eco activist includ group push brussel sue cgnew'
Politics,'ed milliband we dont want lock out room err which room most job greenroom'
Economy,'belaru new eurasian econom suggest strateg partnership polit'
Politics,'anoth us analysi thi on insid higher ed umr'
Politics,'britain must commit member reform liblabcon tell now detail your reform agenda'
Politics,'miliband exit clear present danger leav clear present danger br'
Technology,'trust in eptisa carri out specif support technic audit mission in ivori coast cooper'
Politics,'bring croatian expertis albania fight corrupt all level albania'
Economy,'british membership make gdp bigger but make thousand citizen poorer peopl feel cheat elect'
Politics,'miliband vow stai insid'
Social,'migrat alert polic stop illeg migrant motorwai carpark ibm empact'
Economy,'if we care about job if we care about britain prosperitybritain must commit member reform elect'
Politics,'russiaukrain crisi ultim trial strang insur polici'
Social,'my latest column we have chanc curb excess'
Politics,'itvnew ed miliband futur li in'
Economy,'check out economist magazin googl piraci women citi'
Politics,'council stop ban ecig'
Politics,'britain cant achiev reform in vote swamp proposit ridicul'
Politics,'itv labour futur li in'
Politics,'polit winston churchil on founder human right act tori wish abolish'
Social,'averag total fertil rate in calcul children per woman in'
Politics,'miliband exit clear present danger leav clear presen financialnew'
Politics,'ed m long term futur belong insid outsid loud applaus there could noth wors countri'
Social,'deconstruct r michael loriaux paperback new'
Social,'russia turn around left my hous good right now she try make new friend in'
Social,'viktor orbn energi'
Social,'strong watch hopeless activist try fail burn flag in worst protest ever'
Politics,'novicesmiliband exit clear present danger leav clear present danger'
Social,'sign it we have'
Politics,'bbcpolit britain must commit member reform ed miliband sai ge'
Politics,'mix opinion a unionfund rank effort enter second year insid higher ed mix opinion'
Economy,'leav act econom self harm could risk recoveri sai'
Politics,'keep hama terror list despit court rule keep hama it list terror'
Technology,'wordpress new vat valuead tax rule'
Politics,'nigeriavot about hold press brief sabcnew'
Economy,'had enough no monei billion project alreadi underwai hungari feedli'
Politics,'debat remov region limit digit good'
Politics,'longterm futur li insid outsid sai miliband ge votelabour'
Social,'winner prize literatur announc london book fair'
Politics,'mix opinion a unionfund rank effort enter second year educ'
Politics,'skynew bbcnew come voter quit capabl decid cost benefit'
Politics,'debat remov region limit digit good commiss just announc'
Politics,'labour busi manifesto event conclud talk about be commit member reform'
Politics,'ed miliband sai britain must commit member reform conserv posit lead chao ge'
Politics,'biggest round applaus yet a miliband tell audienc long term futur li insid outsid'
Politics,'miliband there noth wors busi certainti than plai polit game place in battlenumb'
Politics,'miliband win applaus when sai britain long term futur insid'
Politics,'miliband attack there could noth wors countri than plai polit game place in'
Politics,'in past five year place in becom less less secur sai ge brexit'
Politics,'longterm futur li insid outsid miliband tell bloomberg'
Politics,'long term futur li insid outsid miliband sai ge'
Politics,'skynew miliband exit clear present danger leav clear present dan'
Economy,'throw busi year uncertainti threaten leav sai ed miliband ge labour'
Politics,'ministri imposit harjot rai turkei applic join been'
Technology,'peopl still ask document in doc format do still us fax machin travel dmc'
Politics,'mix opinion a unionfund rank effort enter second year highereduc'
Politics,'mix opinion a unionfund rank effort enter second year insid higher ed'
Politics,'you look public about it polici we have someth you'
Politics,'more in defenc in eucolibrari ttr csdp'
Politics,'china persia iran in on tabl isnt amaz smell so close lol roadtotribul'
Social,'start get a countri in my stat'
Politics,'cbi want action next govern aviat devolut relat'
Economy,'russia latvia lithuania top partner in export in said last year russ'
Social,'have you travel outsid thi year yeah oh theyr cool'
Politics,'vaper council stop ecig ban vape ecig ecigssavel improof'
Economy,'intlorgan romania need repai eur mln debt world bank wor'
Politics,'umultirank effort primarili in come out second set rank but particip spotti'
Economy,'monetari servic sentiment regist abov expect in'
Economy,'monetari industri confid regist abov expect in'
Economy,'monetari consum confid meet forecast in forex'
Economy,'refus give referendum million pound dai your loss labour'
Social,'yaw ko quachuchu becaus need explor marami agad if quachuchu'
Politics,'labour parti refus give referendum membership thi just on reason vote them'
Politics,'can singl energi succe doe mean find out in latest polici articl'
Politics,'mix opinion a unionfund rank effort enter second year a it releas it second annual ra'
Economy,'monetari servic sentiment regist abov expect in forex forextrad'
Economy,'monetari industri confid regist abov expect in forex forextr'
Economy,'monetari consum confid meet forecast in forex forextrad'
Economy,'monetari busi climat came in abov forecast in forex forextrad'
Economy,'monetari econom sentiment indic came in abov expect in forex'
Politics,'anger mount todai revel which have been brand coloss wast monei time whe'
Economy,'servic sentiment increas fcast v prev new instaforex forex trade'
Economy,'con infl expec increas v prev new instaforex forex trade'
Economy,'sell price expec increas v prev new instaforex forex trade'
Economy,'consum confid final increas fcast v prev new instaforex forex trade'
Economy,'econom sentiment increas fcast v prev new instaforex forex trade'
Economy,'industri sentiment increas fcast v prev new instaforex forex trade'
Economy,'busi climat increas fcast v prev new instaforex forex trade'
Economy,'cexio about easi deposit withdraw option user'
Economy,'bitcoin cexio about easi deposit withdraw option user'
Politics,'war machin dont make me laugh you have no right tell me right have'
Politics,'photo secretari kerri sit german chines french british russian colleagu'
Politics,'council stop ecig ban vapelif'
Economy,'monetari servic sentiment regist abov expect in fxstree'
Politics,'mix opinion a unionfund rank effort enter second year a it releas it secon mcgsoc'
Politics,'clenbuterol ban in livestock in in in in due human toxic'
Politics,'hand out m in taxpay fund grant eco activist includ group who push brussel sue'
Economy,'fear greek debt default overshadow gather'
Economy,'monetari econom sentiment indic came in abov expect in'
Economy,'monetari servic sentiment regist abov expect in forex fxstreet'
Economy,'monetari industri confid regist abov expect in forex fxstreet'
Economy,'monetari consum confid meet forecast in forex fxstreet'
Economy,'monetari busi climat came in abov forecast in forex fxstreet'
Economy,'monetari servic sentiment regist abov expect in myrichtrad richt'
Economy,'monetari industri confid regist abov expect in myrichtrad'
Economy,'monetari consum confid meet forecast in myrichtrad richtrad forex fx'
Economy,'monetari busi climat came in abov forecast in myrichtrad richtrad'
Economy,'monetari econom sentiment indic came in abov expect in myrich'
Economy,'monetari servic sentiment regist abov expect in fx trade'
Economy,'monetari industri confid regist abov expect in fx trade'
Economy,'monetari consum confid meet forecast in fx trade'
Economy,'monetari busi climat came in abov forecast in fx trade'
Economy,'monetari econom sentiment indic came in abov expect in fx tr'
Politics,'govern respons hous lord committe report drone been publish'
Social,'women risk poverti brussel extent women poverti in'
Politics,'ep fundament right in role charter after lisbon treati p'
Economy,'eur monetari servic sentiment c p'
Politics,'mogherini put off visit after ec chief juncker union deleg'
Politics,'dtn mogherini put off visit after ec chief juncker union deleg t'
Economy,'monetari busi climat came in abov forecast in'
Economy,'eur monetari industri confid c p'
Economy,'eur monetari busi climat c p'
Economy,'consum confid announc actual expect'
Economy,'econom sentiment announc actual ip expect ip'
Social,'just upload corpor social respons within framework'
Politics,'studi fundament right in role charter after lisbon treati'
Politics,'a bulgaria empti govern struggl dole out pension pot poorest countri in e'
Social,'most like fail meet ambiti goal reduc greenhous ga emiss report found'
Social,'sick thoughim'
Social,'world largest aid donor develop world petar petrov'
Politics,'britain influenc in wane'
Technology,'launch investig ecommerc firm boost crossbord trade antitrust reg'
Social,'facebook data privaci case heard befor court'
Social,'luggag new bond leather passport wallet holder cover tweetmystock'
Politics,'major multin compani us lobbi group front water down climat polici'
Politics,'friend funni foreign minist iran six world power a well a union foreign polic'
Politics,'kyiv new mogherini juncker put off visit kyiv union fore kiev ukrainian ua'
Politics,'inform meet climatechang held in riga eulv geographi'
Politics,'iran like domin holidayshorten week in'
Social,'more than just it part businessnew'
Politics,'univers impact economi societi five reason membership matter'
Technology,'retw etidynam joao cravinho solut india flagship programm across sector smart'
Politics,'nigeriavot hold press brief in abuja post elect we there tweet come sabcnew'
Social,'time topic energi workshop'
Economy,'discuss bank merger histor deal activ high but hasnt bounc back yet'
Technology,'joao cravinho solut india flagship programm across sector smartciti cleantech'
Social,'type diabet chmp recommend empagliflozinmetformin hydrochlorid approv in ing'
Economy,'econom consequ britain leav analysi brexit electioneconom'
Economy,'hand m in taxpayerfund grant eco group includ on who want brussel sue britain'
Economy,'three million job in link trade britain'
Politics,'britain influenc in wane brexit'
Technology,'retw lexineru retw ebtceu can provid india advanc technologi sai joao cravinho'
Technology,'retw lexineru retw ebtceu can provid india advanc technologi sai joao cravinho econom time'
Politics,'rupavahinitv had reimpos ban ltte said deputi foreign affair minist ajit'
Politics,'thi week we have plenti deadlin on horizon program anoth set'
Technology,'retw ebtceu can provid india advanc technologi sai joao cravinho econom time'
Technology,'retw ebtceu can provid india advanc technologi sai joao cravinho econom time e'
Economy,'leav act econom self harm could risk recoveri lib dem leader nick clegg said'
Social,'bloodi peski inflamm materi restrict d d d'
Economy,'small busi reject exit custom todai newspap bizitalk'
Social,'busi wire new type diabet chmp recommend empagliflozinmetformin hydrochlorid appro'
Social,'move toward strateg develop radio spectrum polici'
Social,'come sign up here get launch'
Social,'women slovakia along lithuania marri youngest around year in'
Technology,'clamor remov region limit digit good regionalis digit content digit ag racism'
Politics,'polit vote danger job miliband membership organis divid'
Economy,'note job seeker organis gener competit futur staff workedform epso'
Technology,'offici twitter channel agenc network inform secur enisa'
Technology,'appli now women innov prize atinetwork womenit'
Social,'sai leavefacebook if you valu your privaci'
Economy,'address youth unemploy in youth employ prioriti situat'
Social,'q member state note answer ke sath question number aur new member apna name zaror leka kari'
Politics,'panel discuss dynam crise just begun orfdelhi'
Economy,'break new busi new busi new informat break new inform'
Economy,'polit exit econom selfharm leav act leash'
Social,'like video new altern futur episod fall'
Politics,'can afford sai no turkei'
Social,'mayasecur sai leav facebook if you valu your privaci'
Economy,'council adopt measur help sea bass recov'
Economy,'state lotteriesther manysom each state lotteri australia'
Economy,'drive m trademark in drive m trademark in all other countri menergi drivem'
Social,'we want hear british peopl hr unit kingdom membership referendum'
Politics,'asylum loophol mean if then caught in ukthei like return itali rather than countri'
Politics,'polit alexi tsipra seek happi end said expert e'
Politics,'joint issu admiss countri'
Technology,'can provid india advanc technologi sai infoblazeind'
Social,'check out project cup brussel gayrugbi pinkstart'
Social,'god alreadi left crash big bear'
Social,'real nation anthem'
Social,'after exam like whatev im done'
Politics,'explain stage'
Politics,'had reimpos ban ltte said deputi foreign affair minist ajith p perera'
Economy,'paper n'
Politics,'miscellani court justic now it holidai wont visibli back'
Economy,'m cocoa product intern cooper offic kathrin renner delegat'
Economy,'leav act econom self harm could risk recoveri liber'
Social,'europeanunion sai leav facebook if you valu your privaci'
Politics,'bilderberg member expos etienn davignon founder undemocrat dejavuishetnatuurlijk nwo'
Technology,'can provid india advanc technologi sai joao cravinho new delhi c'
Social,'like video philippin inspir each other in busi'
Politics,'nam nonalign movement nato north atlant treati organ sco shanghai cooper organ'
Technology,'launch first galileo satellit sinc orbit error successfulli'
Economy,'donat billion in tax group includ friend earth friend nuclear'
Social,'youth guarante approach fight youth unemploy member state made'
Economy,'all signal lead believ euro need miracl surviv'
Economy,'hei in agre upon singl currenc call'
Social,'detent asylum seeker in australia join free lectur tomorrow'
Economy,'newstodai new exit econom self harm clegg leav act econom'
Economy,'exit econom self harm clegg leav act econom self harm cou'
Social,'geopolit migrat'
Politics,'pre jewish tri overthrow parliament storm oil co'
Technology,'can provid india advanc technologi sai joao cravinho'
Politics,'founder jewish form armi tri overthrow parliament about'
Technology,'eskil call action in th repres comptia attend eskil'
Technology,'can provid india advanc technologi sai joao cravinho india'
Social,'thi let peopl know it support career in scientif research funnyshmexi'
Economy,'pursu fta talk philippin pursu discuss ph'
Economy,'pursu fta talk philippin pursu discuss philippin wi'
Politics,'new euronew latest break new headlin about'
Economy,'nick clegg exit econom selfharm leav act econom self'
Economy,'nick clegg cours it econom act self harm leav realli mentalhealth'
Social,'if you want laugh sheer fuck stupid'
Technology,'your welcom a am co presid eit institut technologi we work hard'
Economy,'exit econom self harm clegg leav act econom self harm could'
Politics,'even discuss ttip have we just said no there ani benefit in ani it anyon in'
Technology,'india can provid india advanc technologi sai joao cravinho new delhi polit'
Politics,'talk cheap much britain help greececameron too tri teach wo joininggreek ppl r fool own ldr'
Social,'newsflash deafblind rehabilit cultur week deafblind'
Economy,'fisheri differ issueim euroscept we should never had join'
Politics,'brussel reuter antitrust regul set give condit approv u'
Economy,'found in a econom commun it then becam ec commun'
Economy,'more monei given fascist group corrupt extraordinari splurg green lobbi group'
Politics,'world watch nigeria head deleg head deleg in nigeria michel arri'
Economy,'public capit expenditur debt dynam evid'
Politics,'matter in thi elect hedeb'
Social,'look found'
Economy,'europ bank regul urg remain part sai citi london'
Social,'what bbc sport thi week your guid sport bbc includ premier leagu footbal rugbi rugbi leagu'
Technology,'retw lexineru retw lexineru retw lexineru retw ashikonfir etn can provid india advanc'
Politics,'cwng two arrest elector violenc in abuja mission observ m cecilia kivnei'
Technology,'retw lexineru retw lexineru retw ashikonfir etn can provid india advanc technologi'
Technology,'retw lexineru retw nittygrittynm can provid india advanc technologi sai joao cravinho'
Technology,'retw lexineru retw indiabroadcast can provid india advanc technologi sai joao cravinho'
Technology,'retw lexineru retw ashikonfir etn can provid india advanc technologi sai joao cravinh'
Politics,'uganda govern adam fast track propos elector reform becom'
Politics,'belaru discuss joint program action illeg migrat belaru'
Technology,'retw nittygrittynm can provid india advanc technologi sai joao cravinho'
Technology,'retw indiabroadcast can provid india advanc technologi sai joao cravinho'
Technology,'retw ashikonfir etn can provid india advanc technologi sai joao cravinho even a'
Economy,'nickclegg it common market we want leav it'
Politics,'plu fact fundament disagre idea leav so'
Politics,'petit council stop ecig ban'
Politics,'access investmentseuropean romania greek govern receiv bn'
Technology,'etn can provid india advanc technologi sai joao cravinho even a indiaeu summit'
Politics,'pai green group million each year lobbi'
Politics,'pilot lose fight new rule pilot fly hour'
Politics,'eurasian pivot moscow expect progress tsipra visit europeanunion'
Politics,'tori hide crossparti review sai doe interven unduli in british life'
Economy,'trade agreement europeanuniontradecommissionasksecuadortojustifynewtariff'
Politics,'furi a hand million eco group who want brussel sue britain taxpayersmoneywastedonceagain'
Economy,'sustain fisheri in north east atlant number fisheri exploit'
Economy,'sustain fisheri in north east atlant number fisheri exploit max'
Social,'sai leav facebook if you valu your privaci itoldyouso cyberdefens'
Social,'polit film festiv part center yet again present it fil'
Politics,'alexi tsipra seek happi end ndtv'
Social,'pragu czech republ last member still allow unrestrict smoke in restaur'
Economy,'had enough no monei billion project alreadi underwai'
Social,'movi director pacificpearl rugbyworldcup'
Social,'director pacificpearl rugbyworldcup scandavianscreen'
Social,'film festiv part'
Social,'comment articl about you should leav facebook protect your privaci requir facebook account'
Politics,'islam jihad can afford sai no turkei'
Politics,'china observ inbevbaillet latour chair unionchina relat publish electron jo'
Social,'techwormin sai leav facebook if you valu your privaci'
Economy,'economist bank merger passport check'
Economy,'compat intern intern mean between nation law'
Politics,'indian suryarai alexi tsipra seek happi end greek prime minist indian'
Economy,'sale gloucest great win todai keep sale in chase'
Politics,'hubri turkish offici can afford sai no turkei tcot'
Economy,'slowli wake up fact have been financ hostagetak captur hungari'
Social,'home page women innov prize innov commiss'
Economy,'fiwar wast monei entrepreneur time'
Social,'epic trek freedom migrant mani rout cross illeg'
Politics,'which mass murder terror accord all relev bodi un etc'
Politics,'merkel wont member'
Politics,'eurozon cant surviv in current form sai pimco us crisi push tyranni ukip'
Politics,'alexi tsipra seek happi end greek prime minist alexi tsipra said in remark publish hope'
